Title,Rating,Year,Genre,Director
Jai Bhim,8.0,2021,,"T.J. Gnanavel (dir.), Suriya, Lijo Mol Jose"
Amores perros,8.0,2000,,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal"
Babam ve Oglum,8.0,2005,,"Çagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan"
Rebecca,8.0,1940,,"Alfred Hitchcock (dir.), Laurence Olivier, Joan Fontaine"
Ojôsan,8.0,2016,,"Park Chan-wook (dir.), Kim Min-hee, Ha Jung-woo"
Cool Hand Luke,8.0,1967,,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy"
The Sound of Music,8.0,1965,,"Robert Wise (dir.), Julie Andrews, Christopher Plummer"
Aru yo no dekigoto,8.0,1934,,"Frank Capra (dir.), Clark Gable, Claudette Colbert"
Otona wa wakattekurenai,8.0,1959,,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy"
Persona,8.0,1966,,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann"
Monti Paison Raifu obu Buraian,8.0,1979,,"Terry Jones (dir.), Graham Chapman, John Cleese"
Aian jaianto,8.0,1999,,"Brad Bird (dir.), Eli Marienthal, Harry Connick Jr."
The Help,8.0,2011,,"Tate Taylor (dir.), Viola Davis, Emma Stone"
アラジン,8.0,1992,,"Ron Clements (dir.), Scott Weinger, Robin Williams"
Dances with Wolves,8.0,1990,,"Kevin Costner (dir.), Kevin Costner, Mary McDonnell"
